lex	sem
pralidoxime2chloride_lex	Chemical
2pam_lex	Chemical
n6cyclopentyl_adenosine_lex	Chemical
dizocilpine_maleate_lex	Chemical
atropine_sulfate_lex	Chemical
poisoning_lex	Disease
mk801_lex	Chemical
imidazoline_lex	Chemical
rilmenidine_lex	Chemical
a_reduced_locomotor_activity_lex	Disease
17betaestradiol_lex	Chemical
tincture_of_crataegus_lex	Chemical
isoproterenol_lex	Chemical
tcr_lex	Chemical
alcoholic_extract_of_the_berries_of_hawthorn_lex	Chemical
crataegus_oxycantha_lex	Chemical
adp_lex	Chemical
raloxifene_lex	Chemical
tamoxifen_lex	Chemical
osteoporosis_lex	Disease
cataracts_lex	Disease
gallbladder_disease_lex	Disease
endometrial_hyperplasia_lex	Disease
endometrial_cancer_lex	Disease
biliary_pseudolithiasis_lex	Disease
pseudolithiasis_lex	Disease
gallbladder_dysfunction_lex	Disease
gnc92h2_lex	Chemical
cocaine_overdose_lex	Disease
osteopenia_lex	Disease
raloxifene_hydrochloride_lex	Chemical
amenorrhea_lex	Disease
prolonged_qt_interval_lex	Disease
fungal_infection_lex	Disease
long_qt_syndrome_lex	Disease
cognitive_dysfunctions_lex	Disease
extract_of_daucus_carota_seeds_lex	Chemical
dce_lex	Chemical
daucus_carota_extract_lex	Chemical
cauda_equina_syndrome_lex	Disease
radiculopathy_lex	Disease
triamcinolone_lex	Chemical
bupivacaine_lex	Chemical
triamcinolone_diacetate_lex	Chemical
numbness_lex	Disease
lower_extremity_weakness_lex	Disease
loss_of_sensation_lex	Disease
neurologic_deterioration_lex	Disease
estradiol_and_testosterone_esters_lex	Chemical
rapamycin_lex	Chemical
autoimmunity_lex	Disease
cystic_renal_diseases_lex	Disease
renal_cancer_lex	Disease
acute_renal_dysfunction_lex	Disease
chronic_renal_damage_lex	Disease
statin_lex	Chemical
statins_lex	Chemical
hyperckaemia_lex	Disease
necrotic_lex	Disease
cyclic_nucleotide_lex	Chemical
cardiovascular_disease_lex	Disease
arrhythmia_lex	Disease
coronary_heart_disease_lex	Disease
smoking_lex	Chemical
hearing_impairment_lex	Disease
decreases_of_teoaes_amplitudes_lex	Disease
neuroinflammation_lex	Disease
behavioral_abnormalities_lex	Disease
terbutaline_lex	Chemical
autism_lex	Disease
neurodevelopmental_disorder_lex	Disease
deficits_in_communication_and_social_skills_lex	Disease
repetitive_behaviors_lex	Disease
preterm_labor_lex	Disease
autism_spectrum_disorders_lex	Disease
schizophrenia_lex	Disease
psychosis_lex	Disease
levetiracetam_lex	Chemical
valproate_lex	Chemical
lev_lex	Chemical
idiopathic_epilepsy_lex	Disease
vpa_lex	Chemical
tonicclonic_seizures_lex	Disease
impaired_word_fluency_psychomotor_speed_and_working_memory_lex	Disease
ne_lex	Chemical
yohimbine_lex	Chemical
attentiondeficithyperactivity_disorder_lex	Disease
methylphenidate_lex	Chemical
adhd_lex	Disease
drowsiness_lex	Disease
thalidomide_lex	Chemical
nonhodgkin_lymphomas_lex	Disease
cancer_lex	Disease
leukemia_lex	Disease
multiple_myeloma_lex	Disease
mantle_cell_lymphoma_lex	Disease
lymphoplasmacytic_lymphoma_lex	Disease
tumour_lex	Disease
lymphomas_lex	Disease
fatigue_lex	Disease
somnolence_lex	Disease
dyspnea_lex	Disease
lenalidomide_lex	Chemical
priapism_lex	Disease
green_tea_lex	Chemical
vitamin_e_lex	Chemical
iso_lex	Chemical
ca_lex	Chemical
na_lex	Chemical
mg_lex	Chemical
ocular_myasthenia_lex	Disease
pegylated_interferon_lex	Chemical
ribavirin_lex	Chemical
chronic_hepatitis_c_lex	Disease
diplopia_lex	Disease
pegylated_interferon_ifn_alpha2b_lex	Chemical
chc_lex	Disease
ptosis_on_the_right_upper_lid_lex	Disease
restricted_right_eye_movement_lex	Disease
pegylated_ifn_alpha2b_lex	Chemical
ifn_lex	Chemical
glycine_lex	Chemical
ssr103800_lex	Chemical
glutamate_lex	Chemical
nmethyldaspartate_lex	Chemical
amphetamine_lex	Chemical
olanzapine_lex	Chemical
aripiprazole_lex	Chemical
catalepsy_lex	Disease
phenylephrine_lex	Chemical
ephedrine_lex	Chemical
reduces_frontal_lobe_oxygenation_lex	Disease
propofol_lex	Chemical
obsessivecompulsivelike_behaviors_lex	Disease
obsessivecompulsive_disorder_lex	Disease
ocd_lex	Disease
behavioral_inflexibility_lex	Disease
memory_impairment_lex	Disease
hoarding_lex	Disease
corticostriatal_dysfunction_lex	Disease
hemolytic_uremic_syndrome_lex	Disease
hus_lex	Disease
dipyridamole_lex	Chemical
anuria_lex	Disease
microangiopathic_hemolytic_anemia_lex	Disease
hydrocortisone_lex	Chemical
radiocalcium_lex	Chemical
calcium_chloride_lex	Chemical
depressive_lex	Disease
betaxolol_lex	Chemical
glaucomatous_lex	Disease
malignant_mesenchymal_tumors_lex	Disease
malignant_mesenchymal_tumor_lex	Disease
ifosfamide_vincristine_and_dactinomycin_lex	Chemical
iva_lex	Chemical
glucosuria_lex	Disease
aminoaciduria_lex	Disease
renal_abnormalities_lex	Disease
fanconis_syndrome_lex	Disease
tdfs_lex	Disease
mesenchymal_tumors_lex	Disease
increase_in_locomotor_activity_lex	Disease
mecamylamine_lex	Chemical
hexamethonium_lex	Chemical
sch_twenty-three thousand, three hundred and ninety_lex	Chemical
raclopride_lex	Chemical
fluphenazine_lex	Chemical
phno_lex	Chemical
skf_thirty-eight thousand, three hundred and ninety-three_lex	Chemical
mefloquine_lex	Chemical
psychoses_lex	Disease
anxiety_neurosis_lex	Disease
disturbances_of_sleepwake_rhythm_lex	Disease
malaria_lex	Disease
mazindol_lex	Chemical
duchenne_dystrophy_lex	Disease
weakness_lex	Disease
decreased_appetite_lex	Disease
gastrointestinal_symptoms_lex	Disease
pentoxifylline_lex	Chemical
trental_lex	Chemical
hyperemia_lex	Disease
thallium_lex	Chemical
peripheral_vascular_disease_lex	Disease
methylxanthine_lex	Chemical
intermittent_claudication_lex	Disease
methylxanthines_lex	Chemical
pentoxyifylline_lex	Chemical
cerebral_haemorrhage_lex	Disease
pneumonia_lex	Disease
bronchitis_lex	Disease
neoplasms_lex	Disease
heart_diseases_lex	Disease
septicaemia_lex	Disease
deaths_lex	Disease
levodopa_lex	Chemical
noradrenaline_lex	Chemical
parkinsonian_lex	Disease
argentine_hemorrhagic_fever_lex	Disease
ahf_lex	Disease
viremia_lex	Disease
angina_lex	Disease
oxytocin_lex	Chemical
urethane_lex	Chemical
delta_9tetrahydrocannabinol_lex	Chemical
thc_lex	Chemical
6hydroxydopamine_lex	Chemical
6ohda_lex	Chemical
desipramine_lex	Chemical
alfentanil_lex	Chemical
somatic_rigidity_lex	Disease
metocurine_lex	Chemical
head_and_neck_carcinoma_lex	Disease
esophageal_carcinoma_lex	Disease
sudden_death_lex	Disease
tachyarrhythmia_lex	Disease
auditory_neurotoxicity_lex	Disease
deferoxamine_lex	Chemical
iron_lex	Chemical
abnormal_audiograms_with_deficits_mostly_in_the_high_frequency_range_of_four thousand_to_eight thousand_hz_lex	Disease
permanent_disability_lex	Disease
auditory_abnormality_lex	Disease
ototoxicity_lex	Disease
auditory_dysfunction_lex	Disease
flurbiprofen_lex	Chemical
juvenile_rheumatoid_arthritis_lex	Disease
tender_joints_lex	Disease
swelling_lex	Disease
tenderness_lex	Disease
morning_stiffness_lex	Disease
fecal_occult_blood_lex	Disease
gastrointestinal_gi_bleeding_lex	Disease
abdominal_pain_lex	Disease
mipafox_lex	Chemical
neuropathic_damage_lex	Disease
n_ndiisopropylphosphorodiamidofluoridate_lex	Chemical
cord_damage_lex	Disease
phenylpropanolamine_lex	Chemical
ppa_lex	Chemical
neuropsychiatric_symptoms_lex	Disease
psoriasis_lex	Disease
azathioprine_lex	Chemical
fibrosis_lex	Disease
liver_damage_lex	Disease
ebsteins_anomaly_lex	Disease
cardiac_malformations_lex	Disease
infarcts_lex	Disease
isoproterenols_lex	Chemical
polyethylene_glycol_four hundred_lex	Chemical
peg_four hundred_lex	Chemical
adr_lex	Chemical
cardiac_morphological_alterations_lex	Disease
l1210_leukemia_lex	Disease
ehrlich_ascites_tumor_lex	Disease
bcnu_lex	Chemical
malignant_gliomas_lex	Disease
13bis2chloroethyl1nitrosourea_lex	Chemical
astrocytomas_lex	Disease
edema_lex	Disease
loss_of_vision_lex	Disease
retinal_vasculitis_lex	Disease
visual_loss_lex	Disease
sodium_chloride_lex	Chemical
cimetidine_lex	Chemical
clear_cell_adenocarcinoma_lex	Disease
phenobarbitone_lex	Chemical
enlargement_of_the_liver_lex	Disease
carbon_tetrachloride_lex	Chemical
cirrhosis_of_the_liver_lex	Disease
splenomegaly_lex	Disease
atrophy_lex	Disease
ccl4_lex	Chemical
diabetesinsipiduslike_syndrome_lex	Disease
amiloride_lex	Chemical
polydipsia_lex	Disease
alprazolam_lex	Chemical
enuresis_lex	Disease
aggression_lex	Disease
impaired_memory_lex	Disease
weight_loss_lex	Disease
dup_seven hundred and fifty-three_lex	Chemical
nephrosis_lex	Disease
nephrotic_syndromes_lex	Disease
hypoalbuminemia_lex	Disease
hypercholesterolemia_lex	Disease
blood_nitrogen_urea_lex	Chemical
losartan_lex	Chemical
sodium_bicarbonate_lex	Chemical
penile_pain_lex	Disease
erectile_dysfunction_lex	Disease
papaverine_lex	Chemical
phentolamine_lex	Chemical
octreotide_lex	Chemical
gallstone_lex	Disease
acromegalic_lex	Disease
gallstones_lex	Disease
acute_cholecystitis_lex	Disease
cholecystitis_lex	Disease
dyskinesia_lex	Disease
pd_lex	Disease
sodium_valproate_lex	Chemical
neurological_disorders_lex	Disease
cerebellum_damage_lex	Disease
hepatic_damage_lex	Disease
hyperammonemia_lex	Disease
amikacin_lex	Chemical
aminoglycosides_lex	Chemical
endophthalmitis_lex	Disease
retinal_toxicity_lex	Disease
vancomycin_lex	Chemical
streptococcal_endophthalmitis_lex	Disease
fluorescein_lex	Chemical
telangiectasis_lex	Disease
ischaemia_lex	Disease
atrioventricular_reentrant_tachycardia_lex	Disease
idiopathic_dilated_cardiomyopathy_lex	Disease
wpw_syndrome_lex	Disease
avrt_lex	Disease
liver_disease_lex	Disease
hydrochlorofluorocarbons_lex	Chemical
ozone_lex	Chemical
chlorofluorocarbons_lex	Chemical
hcfcs_lex	Chemical
cfcs_lex	Chemical
11dichloro222trifluoroethane_lex	Chemical
hcfc_one hundred and twenty-three_lex	Chemical
1chloro1222tetrafluoroethane_lex	Chemical
hcfc_one hundred and twenty-four_lex	Chemical
1bromo1chloro222trifluoroethane_lex	Chemical
trifluoroacetyl_lex	Chemical
halothane_hepatitis_lex	Disease
liver_injury_lex	Disease
sensorineural_hearing_loss_lex	Disease
prilocaine_lex	Chemical
neurological_deficit_lex	Disease
loss_of_pinprick_sensation_lex	Disease
pethidine_lex	Chemical
postoperative_pain_lex	Disease
norpethidine_lex	Chemical
vanishing_bile_duct_lex	Disease
stevensjohnson_syndromes_lex	Disease
stevensjohnson_syndrome_lex	Disease
vanishing_bile_duct_syndrome_lex	Disease
ibuprofen_lex	Chemical
ursodeoxycholic_acid_lex	Chemical
cholestatic_disease_lex	Disease
primary_pulmonary_hypertension_lex	Disease
appetite_suppressants_lex	Chemical
appetite_suppressant_lex	Chemical
appetitesuppressants_lex	Chemical
fenfluramines_lex	Chemical
choreoathetoid_movements_lex	Disease
methadone_lex	Chemical
movement_abnormalities_lex	Disease
heroine_lex	Chemical
mood_disorder_lex	Disease
mood_disorders_lex	Disease
cimd_lex	Disease
depressive_disorders_lex	Disease
tam_lex	Chemical
hemolytic_lex	Disease
alphatocopherol_lex	Chemical
alphat_lex	Chemical
alphatocopherol_acetate_lex	Chemical
alphatac_lex	Chemical
hydroxyl_lex	Chemical
aaph_lex	Chemical
tocopherols_lex	Chemical
nitric_oxide_lex	Chemical
ngnitrolarginine_methyl_ester_lex	Chemical
lname_lex	Chemical
bromocriptine_lex	Chemical
cardiac_hypertrophy_lex	Disease
domperidone_lex	Chemical
ketamine_lex	Chemical
cyclosporine_lex	Chemical
tma_lex	Disease
chronic_renal_insufficiency_lex	Disease
systolic_dysfunction_lex	Disease
furosemide_lex	Chemical
amine_lex	Chemical
renal_artery_stenosis_lex	Disease
renovascular_disease_lex	Disease
lung_toxicity_lex	Disease
doxorubicin_lex	Chemical
ih636_grape_seed_proanthocyanidin_extract_lex	Chemical
grape_seed_extract_lex	Chemical
proanthocyanidins_lex	Chemical
gspe_lex	Chemical
aap_lex	Chemical
ami_lex	Chemical
dox_lex	Chemical
tissue_damage_lex	Disease
palpebral_twitching_lex	Disease
citalopram_lex	Chemical
metamizol_lex	Chemical
constipation_lex	Disease
constipating_lex	Disease
charcoal_lex	Chemical
chronic_pain_lex	Disease
asterixis_lex	Disease
ifx_lex	Chemical
myoclonus_lex	Disease
plasmacytoma_lex	Disease
structural_lesions_of_the_brain_lex	Disease
metabolic_abnormalities_lex	Disease
gammavinyl_gaba_lex	Chemical
vigabatrin_lex	Chemical
gvg_lex	Chemical
substance_abuse_lex	Disease
visual_field_defects_lex	Disease
vfd_lex	Disease
da_lex	Chemical
bleeding_lex	Disease
hematoma_lex	Disease
ich_lex	Disease
estradiol_lex	Chemical
hippocampal_injury_lex	Disease
kainic_acid_lex	Chemical
se_lex	Disease
silver_lex	Chemical
neurologic_sequelae_lex	Disease
weakness_of_extremities_lex	Disease
legs_paralysis_lex	Disease
dysarthria_lex	Disease
vascular_dysfunctions_lex	Disease
cluster_headache_lex	Disease
intracranial_vascular_disturbances_lex	Disease
increases_in_dural_and_cortical_blood_flow_lex	Disease
hexamethonium_chloride_lex	Chemical
increases_in_dural_blood_flow_lex	Disease
bicuculline_lex	Chemical
hypolocomotion_lex	Disease
tremors_lex	Disease
azithromycin_lex	Chemical
epileptic_lex	Disease
nitrolarginine_methyl_ester_lex	Chemical
highfrequency_hearing_loss_lex	Disease
aminoglycoside_lex	Chemical
ototoxic_lex	Disease
amphetamine_abuse_lex	Disease
ischaemic_stroke_lex	Disease
ischaemic_strokes_lex	Disease
vasculitis_lex	Disease
cerebral_haemorrhages_lex	Disease
haemorrhage_lex	Disease
cataract_lex	Disease
lignocaine_lex	Chemical
nausea_vomiting_lex	Disease
postoperative_emetic_symptoms_lex	Disease
chronic_kidney_disease_lex	Disease
contrast_medium_lex	Chemical
iopamidol_lex	Chemical
iodixanol_lex	Chemical
nacetylcysteine_lex	Chemical
maltolyl_pcoumarate_lex	Chemical
maltol_lex	Chemical
pcoumaric_acid_lex	Chemical
cognitive_decline_lex	Disease
amyloid_beta_peptide142_lex	Chemical
h2o2_lex	Chemical
alzheimers_disease_lex	Disease
neuronal_death_lex	Disease
decline_of_cognitive_function_lex	Disease
levofloxacin_lex	Chemical
fluoroquinolone_lex	Chemical
hepatitis_b_virus_hbv_infected_lex	Disease
hiv_coinfection_lex	Disease
hepatitis_b_lex	Disease
human_immunodeficiency_virus_hiv_coinfection_lex	Disease
hbv_infected_lex	Disease
hbv_monoinfected_lex	Disease
hbsag_lex	Chemical
tyrosine_lex	Chemical
methionine_lex	Chemical
aspartate_lex	Chemical
acute_pain_lex	Disease
dextromethorphan_lex	Chemical
sirolmus_lex	Chemical
mycophenolate_mofetil_lex	Chemical
ace_inhibitor_lex	Chemical
angiotensinreleasing_blocker_lex	Chemical
arb_lex	Chemical
acei_lex	Chemical
npyrimidinyl2phenoxyacetamides_lex	Chemical
npyrimidinyl2phenoxyacetamide_lex	Chemical
methamphetamine_lex	Chemical
meth_lex	Chemical
mptp_lex	Chemical
neurodegeneration_lex	Disease
cns_damage_lex	Disease
brachial_neuritis_lex	Disease
everolimus_lex	Chemical
tac_lex	Chemical
headaches_lex	Disease
neurological_deficits_lex	Disease
myelitis_lex	Disease
brachial_plexitis_lex	Disease
valvular_heart_disease_lex	Disease
pergolide_lex	Chemical
valvular_heart_abnormalities_lex	Disease
valvular_heart_abnormality_lex	Disease
aortic_regurgitation_lex	Disease
mitral_regurgitation_lex	Disease
valvular_regurgitation_lex	Disease
valve_regurgitation_lex	Disease
papaverine_hydrochloride_lex	Chemical
cranial_nerve_dysfunction_lex	Disease
adverse_effect_on_the_proximal_eighth_nerve_lex	Disease
cranial_nerve_deficits_lex	Disease
bisphosphonate_lex	Chemical
alendronate_lex	Chemical
alendronate_sodium_lex	Chemical
bisphosphonates_lex	Chemical
volume_retention_lex	Disease
lipidemia_lex	Disease
uremia_lex	Disease
cotrimoxazole_lex	Chemical
pneumocystis_pneumonia_lex	Disease
hivinfected_lex	Disease
pcp_lex	Disease
opportunistic_infection_lex	Disease
intrahepatic_cholestasis_lex	Disease
liver_abscess_lex	Disease
oxycodone_lex	Chemical
modafinil_lex	Chemical
daytime_sleepiness_lex	Disease
asenapine_lex	Chemical
bipolar_i_disorder_lex	Disease
psychotic_lex	Disease
cardiac_toxicity_lex	Disease
lopinavirritonavir_lex	Chemical
human_immunodeficiency_virus_infection_lex	Disease
heart_block_lex	Disease
pentobarbital_lex	Chemical
memory_dissociation_lex	Disease
angiosarcoma_lex	Disease
intraarterial_lesions_lex	Disease
xanthine_lex	Chemical
ht_lex	Disease
dex_lex	Chemical
allopurinol_lex	Chemical
urate_lex	Chemical
increased_sbp_lex	Disease
decreased_thymus_p_one_and_bodyweights_lex	Disease
risperidone_lex	Chemical
serotonin_5ht2_lex	Chemical
psychotic_symptoms_lex	Disease
druginduced_parkinsonism_lex	Disease
simvastatinezetimibe_lex	Chemical
hepatic_failure_lex	Disease
hepatotoxic_lex	Disease
ezetimibe_lex	Chemical
fulminant_hepatic_failure_lex	Disease
simvastatin_lex	Chemical
simvastatin_ten_mgezetimibe_forty_mg_lex	Chemical
escitalopram_lex	Chemical
drug_toxicity_lex	Disease
uridine_diphosphate_lex	Chemical
simvastatin_hydroxy_acid_lex	Chemical
liver_failure_lex	Disease
meth_mouth_lex	Disease
cardiac_dysrhythmias_lex	Disease
hallucinations_lex	Disease
violent_behavior_lex	Disease
xerostomia_lex	Disease
caries_lex	Disease
tooth_wear_lex	Disease
bad_breath_lex	Disease
carious_lesions_lex	Disease
carious_episodes_lex	Disease
methamphetamines_lex	Chemical
thyroxine_lex	Chemical
thyrotoxicosis_lex	Disease
eating_disorders_lex	Disease
drug_abuse_lex	Disease
lipopolysaccharide_lex	Chemical
dopaminergic_terminal_damage_lex	Disease
34dihydroxyphenylacetic_acid_lex	Chemical
enalapril_lex	Chemical
glomerular_sclerosis_lex	Disease
apnea_lex	Disease
succinylcholine_lex	Chemical
fractures_lex	Disease
fracture_lex	Disease
dislocation_lex	Disease
ketamine_hydrochloride_lex	Chemical
emesis_lex	Disease
clumsiness_lex	Disease
ataxic_movements_lex	Disease
dysphoric_reaction_lex	Disease
rheumatologic_disorders_lex	Disease
hepatitis_b_virus_surface_antigen_lex	Chemical
hbs_ag_lex	Chemical
rheumatologic_disease_lex	Disease
rheumatologic_diseases_lex	Disease
abnormal_liver_function_lex	Disease
midazolan_lex	Chemical
mz_lex	Chemical
flumazenil_lex	Chemical
fl_lex	Chemical
myocardiopathy_lex	Disease
mp_lex	Disease
mr_lex	Disease
hypoxia_lex	Disease
airway_obstruction_lex	Disease
bepridil_lex	Chemical
selegiline_lex	Chemical
postural_hypotension_lex	Disease
systolic_orthostatic_hypotension_lex	Disease
reduced_the_supine_systolic_and_diastolic_blood_pressures_lex	Disease
metamphetamine_lex	Chemical
pains_lex	Disease
renovascular_hypertension_lex	Disease
sudden_deterioration_of_renal_function_lex	Disease
propylthiouracil_lex	Chemical
chronic_active_aggressive_hepatitis_lex	Disease
muscle_pain_lex	Disease
temporomandibular_disorders_lex	Disease
nociceptive_muscle_lex	Disease
painful_muscle_lex	Disease
hydrogen_cyanamide_lex	Chemical
aldehyde_lex	Chemical
acetaldehyde_lex	Chemical
dormex_lex	Chemical
flushing_of_the_face_lex	Disease
flushing_lex	Disease
arterial_hypotension_lex	Disease
trimipramine_lex	Chemical
tri_lex	Chemical
5hydroxytryptamine_lex	Chemical
reserpine_lex	Chemical
hypothermia_lex	Disease
5hydroxytryptophan_lex	Chemical
damphetamine_lex	Chemical
quinpirole_lex	Chemical
ranitidine_lex	Chemical
acetazolamide_lex	Chemical
neuromuscular_disorders_lex	Disease
myotonia_lex	Disease
renal_calculi_lex	Disease
renal_calculus_lex	Disease
calculus_lex	Disease
scabies_lex	Disease
lindane_lex	Chemical
gamma_benzene_hexachloride_lex	Chemical
toxic_to_the_central_nervous_system_lex	Disease
aplastic_anaemia_lex	Disease
masseter_spasm_lex	Disease
myotonia_congenita_lex	Disease
8aminoquinoline_lex	Chemical
84aminolmethylbutylamino_5lhexyloxy6methoxy4methylquinoline_lex	Chemical
wr242511_lex	Chemical
methemoglobinemia_lex	Disease
hemoglobinuria_lex	Disease
myoglobinuria_lex	Disease
kanamycin_lex	Chemical
sumatriptan_lex	Chemical
atypical_sensations_lex	Disease
tingling_or_burning_sensations_lex	Disease
sunburn_lex	Disease
salbutamol_lex	Chemical
obstructive_lung_disease_lex	Disease
docetaxel_lex	Chemical
quaternary_ammonium_lex	Chemical
um272_lex	Chemical
nndimethylpropranolol_lex	Chemical
ouabain_lex	Chemical
ventricular_tachycardias_lex	Disease
haemolytic_anaemia_lex	Disease
ciprofloxacin_lex	Chemical
urinary_tract_infection_lex	Disease
haemolysis_lex	Disease
petechiae_lex	Disease
purpura_lex	Disease
haemorrhages_lex	Disease
bone_marrow_depression_lex	Disease
thrombi_lex	Disease
microangiopathies_lex	Disease
compartment_syndrome_lex	Disease
myonecrosis_lex	Disease
hypothyroidism_lex	Disease
hypothyroid_lex	Disease
arteriopathic_lex	Disease
danazol_lex	Chemical
liver_mass_lex	Disease
combination_of_amoxicillin_and_clavulanic_acid_lex	Chemical
amoxicillinclavulanic_acid_lex	Chemical
granulomas_lex	Disease
cholestatic_syndrome_lex	Disease
eosinophilia_lex	Disease
clavulanic_acid_lex	Chemical
cocaine_abuse_lex	Disease
aneurysms_lex	Disease
ruptured_aneurysms_lex	Disease
aneurysmal_rupture_lex	Disease
absence_seizures_lex	Disease
absence_epilepsy_lex	Disease
absence_seizure_lex	Disease
gammaaminobutyric_acid_lex	Chemical
epilepsy_lex	Disease
procainamide_lex	Chemical
premature_ventricular_contractions_lex	Disease
qt_prolongation_lex	Disease
syncope_lex	Disease
prolonged_qt_syndrome_lex	Disease
dextran_lex	Chemical
hoe140_lex	Chemical
5azacytidine_lex	Chemical
initiation_induced_by_carcinogens_lex	Disease
initiation_of_carcinogenic_process_lex	Disease
5azc_lex	Chemical
benzoapyrene_lex	Chemical
nmethylnnitrosourea_lex	Chemical
12dimethylhydrazine_lex	Chemical
12dmh_lex	Chemical
2acetylaminofluorene_lex	Chemical
3h5azadeoxycytidine_lex	Chemical
cytosine_lex	Chemical
rs_lex	Disease
trihexyphenidyl_lex	Chemical
catecholamines_lex	Chemical
meningeal_leukemia_lex	Disease
meningeal_disease_lex	Disease
mucositis_lex	Disease
transient_hemiparesis_lex	Disease
leukemoid_reaction_lex	Disease
erythroderma_lex	Disease
hyponatremia_lex	Disease
locomotor_hypoactivity_lex	Disease
choline_lex	Chemical
dobutamine_lex	Chemical
tc99msestamibi_lex	Chemical
sestamibi_lex	Chemical
rhabdomyolysis_lex	Disease
atazanavir_lex	Chemical
human_immunodeficiency_virus_lex	Disease
blood_urea_nitrogen_lex	Chemical
alanine_lex	Chemical
fluvastatin_lex	Chemical
rosuvastatin_lex	Chemical
atorvastatin_lex	Chemical
lovastatin_lex	Chemical
squamous_cell_esophageal_carcinoma_lex	Disease
granulocytopenia_lex	Disease
peripheral_neurotoxicity_lex	Disease
esophageal_squamous_cell_carcinoma_lex	Disease
aponidine_hydrochloride_lex	Chemical
apraclonidine_lex	Chemical
ocular_hypotensive_lex	Disease
decreases_in_systolic_blood_pressure_lex	Disease
conjunctival_blanching_lex	Disease
mydriasis_lex	Disease
entropion_lex	Disease
corneal_abrasion_lex	Disease
carmofur_lex	Chemical
organic_mental_disorders_lex	Disease
organic_personality_syndrome_lex	Disease
frontal_lobe_syndrome_lex	Disease
structural_damage_to_the_frontal_lobe_lex	Disease
mexiletine_lex	Chemical
mexitilperlongets_lex	Chemical
gastrointestinal_problems_lex	Disease
calcitonin_lex	Chemical
intracranial_bleeding_lex	Disease
wheezing_lex	Disease
respiratory_distress_lex	Disease
rash_lex	Disease
molindone_lex	Chemical
cardiovascular_alterations_lex	Disease
ro_four hundred and five thousand, nine hundred and sixty-seven_lex	Chemical
cardiovascular_malformations_lex	Disease
nifedipine_lex	Chemical
hepatitis_b_virus_e_antigen_lex	Chemical
lam_lex	Chemical
hbeag_lex	Chemical
nucleotide_lex	Chemical
adefovir_lex	Chemical
tenofovir_lex	Chemical
sevoflurane_lex	Chemical
enflurane_lex	Chemical
apamin_lex	Chemical
superoxide_lex	Chemical
o2_lex	Chemical
ato_lex	Chemical
99mtcglucarate_lex	Chemical
infarct_lex	Disease
glucaric_acid_lex	Chemical
cardiac_infarction_lex	Disease
disruptive_behaviors_lex	Disease
psychomotor_agitation_lex	Disease
extrapyramidal_signs_lex	Disease
hiphisleu_lex	Chemical
renal_interstitial_damage_lex	Disease
focal_glomerulosclerosis_lex	Disease
tobramycin_lex	Chemical
gentamicin_sulfate_lex	Chemical
tobramycin_sulfate_lex	Chemical
mpep_lex	Chemical
2methyl6phenylethynylpyridine_lex	Chemical
veratridine_lex	Chemical
desipramine_hcl_lex	Chemical
cinacalcet_hcl_lex	Chemical
cinacalcet_lex	Chemical
lid_lex	Disease
corticosteroids_lex	Chemical
paramethasone_lex	Chemical
conjunctivitis_lex	Disease
pancreatitis_lex	Disease
impaired_consciousness_lex	Disease
haemolyticuraemic_syndrome_lex	Disease
metronidazole_lex	Chemical
extrahepatic_cholestasis_lex	Disease
betathalassemic_lex	Disease
betathalassemia_lex	Disease
dfo_lex	Chemical
snhl_lex	Disease
thalassemic_lex	Disease
angiotensin_converting_enzyme_ace_inhibitors_lex	Chemical
azidothymidine_lex	Chemical
azt_lex	Chemical
thymidine_lex	Chemical
inferior_colliculus_lesion_lex	Disease
inferior_colliculus_lesions_lex	Disease
callosal_lesion_lex	Disease
apnoea_lex	Disease
carbon_dioxide_lex	Chemical
tachyarrhythmias_lex	Disease
ventricular_ectopic_beats_lex	Disease
phenytoin_lex	Chemical
overdosages_lex	Disease
cerebellar_atrophy_lex	Disease
cerebellar_disorders_lex	Disease
myocardial_damage_lex	Disease
myocardial_cell_injury_lex	Disease
cardiac_disorders_lex	Disease
ischemic_injury_lex	Disease
cips_lex	Disease
reflex_sympathetic_dystrophy_lex	Disease
mortons_neuralgia_lex	Disease
gout_lex	Disease
avascular_necrosis_lex	Disease
foot_deformities_lex	Disease
stress_fractures_lex	Disease
hyperparathyroidism_lex	Disease
halogenated_hydroxyquinolines_lex	Chemical
clioquinol_lex	Chemical
neurological_disturbance_lex	Disease
optic_atrophy_lex	Disease
acrodermatitis_enteropathica_lex	Disease
myelopathy_lex	Disease
epileptic_seizures_lex	Disease
tamca_lex	Chemical
generalized_seizures_lex	Disease
sugar_dependency_lex	Disease
behavioral_crosssensitization_lex	Disease
drug_dependency_lex	Disease
sucrose_lex	Chemical
hyperactive_lex	Disease
angiopathy_lex	Disease
dpen_lex	Chemical
hyaluronate_lex	Chemical
anthracyclines_lex	Chemical
cardiac_dysfunction_lex	Disease
acute_leukemia_lex	Disease
daunorubicin_lex	Chemical
dnr_lex	Chemical
birth_defects_lex	Disease
birth_defect_lex	Disease
sulfonamides_lex	Chemical
anencephaly_lex	Disease
hypoplastic_left_heart_syndrome_lex	Disease
choanal_atresia_lex	Disease
transverse_limb_deficiency_lex	Disease
diaphragmatic_hernia_lex	Disease
nitrofurantoins_lex	Chemical
anophthalmia_lex	Disease
microphthalmos_lex	Disease
atrial_septal_defects_lex	Disease
cleft_lip_lex	Disease
cleft_palate_lex	Disease
